Date,IEF,AGG
2008-06-02,87.5,100.76000213623047
2008-06-03,87.36000061035156,100.68000030517578
2008-06-04,88.19000244140625,101.29000091552734
2008-06-05,87.41000366210938,100.5199966430664
2008-06-06,87.69999694824219,100.91000366210938
2008-06-09,87.5199966430664,100.5
2008-06-10,87.12000274658203,100.25
2008-06-11,86.98999786376953,100.18000030517578
2008-06-12,86.5199966430664,99.88999938964844
2008-06-13,86.13999938964844,99.56999969482422
2008-06-16,86.12999725341797,99.56999969482422
2008-06-17,86.11000061035156,99.69999694824219
2008-06-18,86.38999938964844,99.86000061035156
2008-06-19,86.5199966430664,99.91000366210938
2008-06-20,86.69000244140625,100.11000061035156
2008-06-23,86.70999908447266,99.93000030517578
2008-06-24,86.80000305175781,99.93000030517578
2008-06-25,87.01000213623047,100.04000091552734
2008-06-26,87.02999877929688,100.25
2008-06-27,87.62000274658203,99.98999786376953
2008-06-30,87.83999633789062,100.66000366210938
2008-07-01,88.01000213623047,100.62000274658203
2008-07-02,87.55000305175781,100.01000213623047
2008-07-03,87.56999969482422,99.87000274658203
2008-07-04,87.56999969482422,99.87000274658203
2008-07-07,87.7699966430664,99.58999633789062
2008-07-08,88.18000030517578,100.0
2008-07-09,88.3499984741211,100.5
2008-07-10,88.80000305175781,100.7699966430664
2008-07-11,88.79000091552734,101.05999755859375
2008-07-14,88.01000213623047,100.22000122070312
2008-07-15,88.62000274658203,100.63999938964844
2008-07-16,88.44999694824219,100.51000213623047
2008-07-17,87.9000015258789,100.0
2008-07-18,87.55000305175781,99.33999633789062
2008-07-21,87.16999816894531,99.33000183105469
2008-07-22,87.33999633789062,99.41999816894531
2008-07-23,86.94999694824219,99.19999694824219
2008-07-24,87.08999633789062,99.41000366210938
2008-07-25,87.51000213623047,99.80000305175781
2008-07-28,87.51000213623047,99.94999694824219
2008-07-29,87.58000183105469,99.80000305175781
2008-07-30,87.2699966430664,99.87000274658203
2008-07-31,88.11000061035156,100.37000274658203
2008-08-01,87.7300033569336,100.19000244140625
2008-08-04,87.91999816894531,99.80999755859375
2008-08-05,87.94000244140625,99.80000305175781
2008-08-06,87.56999969482422,99.44999694824219
2008-08-07,87.97000122070312,99.44999694824219
2008-08-08,88.51000213623047,99.80000305175781
2008-08-11,88.26000213623047,99.51000213623047
2008-08-12,88.2699966430664,99.69000244140625
2008-08-13,88.69999694824219,99.86000061035156
2008-08-14,88.63999938964844,99.87999725341797
2008-08-15,88.87999725341797,100.2300033569336
2008-08-18,88.95999908447266,100.25
2008-08-19,89.29000091552734,100.37999725341797
2008-08-20,89.22000122070312,100.45999908447266
2008-08-21,89.37000274658203,100.44999694824219
2008-08-22,88.95999908447266,100.19000244140625
2008-08-25,89.37999725341797,100.76000213623047
2008-08-26,89.36000061035156,100.5199966430664
2008-08-27,89.11000061035156,100.58000183105469
2008-08-28,89.37000274658203,100.80999755859375
2008-08-29,89.29000091552734,101.26000213623047
2008-09-01,89.29000091552734,101.26000213623047
2008-09-02,88.88999938964844,100.30999755859375
2008-09-03,89.55999755859375,100.69999694824219
2008-09-04,89.95999908447266,100.98999786376953
2008-09-05,90.47000122070312,101.23999786376953
2008-09-08,89.43000030517578,100.95999908447266
2008-09-09,89.87999725341797,101.47000122070312
2008-09-10,89.93000030517578,101.4000015258789
2008-09-11,90.48999786376953,101.9000015258789
2008-09-12,90.16999816894531,101.69999694824219
2008-09-15,90.97000122070312,101.3499984741211
2008-09-16,92.62999725341797,102.0199966430664
2008-09-17,91.66999816894531,100.7699966430664
2008-09-18,91.4000015258789,100.5
2008-09-19,89.05999755859375,100.0
2008-09-22,88.63999938964844,99.87999725341797
2008-09-23,89.13999938964844,99.31999969482422
2008-09-24,89.33000183105469,99.0
2008-09-25,89.19999694824219,99.5
2008-09-26,89.13999938964844,98.66000366210938
2008-09-29,89.48999786376953,98.55000305175781
2008-09-30,90.29000091552734,98.25
2008-10-01,89.13999938964844,97.9000015258789
2008-10-02,89.43000030517578,97.44999694824219
2008-10-03,89.87999725341797,98.22000122070312
2008-10-06,90.44000244140625,98.62000274658203
2008-10-07,90.44000244140625,98.41000366210938
2008-10-08,91.06999969482422,96.16999816894531
2008-10-09,88.66999816894531,94.5199966430664
2008-10-10,88.44999694824219,91.30000305175781
2008-10-13,87.26000213623047,90.38999938964844
2008-10-14,87.05000305175781,92.62999725341797
2008-10-15,86.66000366210938,94.41999816894531
2008-10-16,87.11000061035156,95.25
2008-10-17,87.9000015258789,93.37999725341797
2008-10-20,87.48999786376953,94.88999938964844
2008-10-21,88.58999633789062,96.41000366210938
2008-10-22,89.11000061035156,97.2699966430664
2008-10-23,89.91000366210938,97.97000122070312
2008-10-24,90.4000015258789,96.1500015258789
2008-10-27,89.45999908447266,94.69999694824219
2008-10-28,88.9000015258789,94.69999694824219
2008-10-29,88.69000244140625,95.20999908447266
2008-10-30,88.05999755859375,96.3499984741211
2008-10-31,88.43000030517578,95.54000091552734
2008-11-03,87.69999694824219,95.98999786376953
2008-11-04,87.73999786376953,95.16000366210938
2008-11-05,88.77999877929688,96.83000183105469
2008-11-06,88.80000305175781,97.48999786376953
2008-11-07,88.7300033569336,96.87000274658203
2008-11-10,88.54000091552734,97.29000091552734
2008-11-11,88.72000122070312,95.94999694824219
2008-11-12,89.27999877929688,97.58000183105469
2008-11-13,89.48999786376953,96.68000030517578
2008-11-14,89.7300033569336,97.0
2008-11-17,89.8499984741211,96.91000366210938
2008-11-18,90.5999984741211,97.06999969482422
2008-11-19,91.30000305175781,97.45999908447266
