Date,IEF,AGG,BND,TLT,SHY,TIP,HYG,LQD,EMB,MUB,PFF,^GSPC,UDN,EURUSD=X,^VIX,CL=F,^IRX,^FVX,^TNX,^TYX
2020-07-02,121.44000244140625,118.05000305175781,88.2300033569336,162.6999969482422,86.54000091552734,123.12999725341797,82.23999786376953,134.9600067138672,109.7300033569336,115.29000091552734,34.65999984741211,3143.639892578125,20.290000915527344,1.1253403425216675,28.329999923706055,39.779998779296875,0.12800000607967377,0.31299999356269836,0.6790000200271606,1.4240000247955322
2020-07-03,121.44000244140625,118.05000305175781,88.2300033569336,162.6999969482422,86.54000091552734,123.12999725341797,82.23999786376953,134.9600067138672,109.7300033569336,115.29000091552734,34.65999984741211,3143.639892578125,20.290000915527344,1.1253403425216675,28.329999923706055,39.779998779296875,0.12800000607967377,0.31299999356269836,0.6790000200271606,1.4240000247955322
2020-07-06,121.41000366210938,118.18000030517578,88.25,162.3300018310547,86.54000091552734,123.33999633789062,82.62000274658203,135.16000366210938,110.2699966430664,115.33999633789062,34.790000915527344,3155.2900390625,20.389999389648438,1.1248847246170044,27.760000228881836,40.380001068115234,0.13500000536441803,0.31200000643730164,0.6959999799728394,1.4620000123977661
2020-07-07,121.62999725341797,118.2300033569336,88.37000274658203,163.4199981689453,86.54000091552734,123.70999908447266,82.62999725341797,135.39999389648438,109.9800033569336,115.4000015258789,34.75,3166.43994140625,20.350000381469727,1.131029725074768,28.770000457763672,40.68000030517578,0.14000000059604645,0.30399999022483826,0.6740000247955322,1.4270000457763672
2020-07-08,121.72000122070312,118.3499984741211,88.4800033569336,164.32000732421875,86.55000305175781,123.55000305175781,82.12999725341797,135.6699981689453,110.01000213623047,115.38999938964844,34.79999923706055,3153.070068359375,20.350000381469727,1.1272813081741333,28.950000762939453,40.47999954223633,0.1379999965429306,0.2939999997615814,0.6549999713897705,1.3919999599456787
2020-07-09,121.7699966430664,118.4000015258789,88.44999694824219,164.66000366210938,86.55000305175781,123.55000305175781,82.38999938964844,135.63999938964844,110.12999725341797,115.44999694824219,34.86000061035156,3176.169921875,20.450000762939453,1.1337867975234985,28.18000030517578,40.869998931884766,0.12999999523162842,0.29600000381469727,0.6549999713897705,1.3940000534057617
2020-07-10,122.25,118.83000183105469,88.75,167.9499969482422,86.58000183105469,123.8499984741211,82.06999969482422,136.30999755859375,109.83999633789062,115.62000274658203,34.7599983215332,3152.469970703125,20.399999618530273,1.1289230585098267,30.860000610351562,39.58000183105469,0.11999999731779099,0.26899999380111694,0.5839999914169312,1.2589999437332153
2020-07-13,121.70999908447266,118.45999908447266,88.52999877929688,165.5,86.54000091552734,123.5,82.80000305175781,135.88999938964844,109.95999908447266,115.69999694824219,34.959999084472656,3205.080078125,20.440000534057617,1.1308763027191162,27.850000381469727,40.349998474121094,0.11999999731779099,0.29899999499320984,0.6480000019073486,1.350000023841858
2020-07-14,122.18000030517578,118.58000183105469,88.66999816894531,167.92999267578125,86.55999755859375,124.08999633789062,82.04000091552734,135.85000610351562,109.5999984741211,115.72000122070312,34.599998474121094,3141.110107421875,20.420000076293945,1.1345844268798828,31.139999389648438,39.599998474121094,0.13300000131130219,0.29100000858306885,0.6269999742507935,1.315000057220459
2020-07-15,121.83000183105469,118.5,88.72000122070312,165.9199981689453,86.54000091552734,123.8499984741211,83.23999786376953,136.47999572753906,110.1500015258789,115.86000061035156,34.81999969482422,3225.97998046875,20.520000457763672,1.1410835981369019,29.149999618530273,40.54999923706055,0.125,0.3019999861717224,0.6499999761581421,1.347000002861023
2020-07-16,122.16000366210938,118.83000183105469,88.81999969482422,167.39999389648438,86.56999969482422,124.08999633789062,83.16000366210938,136.72000122070312,110.29000091552734,115.9800033569336,34.95000076293945,3208.360107421875,20.5,1.1417349576950073,28.40999984741211,40.970001220703125,0.11800000071525574,0.28200000524520874,0.6179999709129333,1.3140000104904175
