Date,HG=F,CL=F,BZ=F,NG=F,RB=F,HO=F,CC=F,ZW=F,ZC=F,ZS=F,^VIX,CT=F,CC,KC,SB,GF=F,GC=F,SI=F,PL=F,PA=F,ZN=F,ZB=F
2000-08-30,0.8790000081062317,32.75,,4.650000095367432,,,743.0,249.0,183.25,,17.1299991607666,64.9000015258789,,,,,273.8999938964844,4.949999809265137,593.9000244140625,717.0,,
2000-08-31,0.8849999904632568,33.25,,4.820000171661377,,,760.0,248.0,180.75,,17.440000534057617,64.19999694824219,,,,,274.79998779296875,4.920000076293945,589.0,710.0,,
2000-09-01,0.878000020980835,33.04999923706055,,4.75,,0.9850000143051147,750.0,250.75,182.75,,16.809999465942383,63.400001525878906,,,,,277.0,5.034999847412109,588.0,710.0,,
2000-09-04,0.878000020980835,33.04999923706055,,4.75,,0.9850000143051147,750.0,250.75,182.75,,16.809999465942383,63.400001525878906,,,,,277.0,5.034999847412109,588.0,710.0,,
2000-09-05,0.8960000276565552,33.95000076293945,,4.849999904632568,,0.9950000047683716,778.0,250.75,184.0,,19.18000030517578,63.900001525878906,,,,,275.79998779296875,4.989999771118164,602.0,710.0,,
2000-09-06,0.9049999713897705,33.9900016784668,,4.989999771118164,,0.9850000143051147,770.0,250.75,186.25,,19.700000762939453,64.69000244140625,,,,,274.20001220703125,5.0,603.0,720.6500244140625,,
2000-09-07,0.9014999866485596,34.5,,4.960000038146973,,0.9900000095367432,759.0,,181.5,,20.469999313354492,64.1500015258789,,,,,274.0,4.980000019073486,611.5,738.0,,
2000-09-08,0.9120000004768372,34.54999923706055,,4.909999847412109,,1.0119999647140503,760.0,250.75,181.5,,18.809999465942383,64.0999984741211,,,,,273.29998779296875,4.940000057220459,610.0,779.0,,
2000-09-11,0.9110000133514404,33.79999923706055,,4.909999847412109,,1.0049999952316284,767.0,250.75,181.5,,19.030000686645508,64.72000122070312,,,,,273.1000061035156,4.90500020980835,607.5,760.0,,
2000-09-12,0.9120000004768372,35.45000076293945,,5.065000057220459,,1.065000057220459,773.0,250.75,189.75,,18.329999923706055,63.900001525878906,,,,,272.8999938964844,4.934999942779541,606.0,760.0,,
2000-09-13,0.9334999918937683,34.0,,5.079999923706055,,1.0399999618530273,796.0,250.75,189.75,,18.760000228881836,63.0,,,,,272.79998779296875,4.920000076293945,600.0,757.0,,
2000-09-14,0.9330000281333923,33.779998779296875,,5.099999904632568,,0.9975000023841858,775.0,250.75,181.0,,18.239999771118164,62.400001525878906,,,,,272.3999938964844,4.894999980926514,587.0,731.0999755859375,,
