Date,CC
2015-06-19,21.0
2015-06-22,21.25
2015-06-23,19.670000076293945
2015-06-24,17.5
2015-06-25,16.799999237060547
2015-06-26,14.989999771118164
2015-06-29,14.970000267028809
2015-06-30,15.9399995803833
2015-07-01,16.0
2015-07-02,16.43000030517578
2015-07-03,16.43000030517578
2015-07-06,16.0
2015-07-07,15.890000343322754
2015-07-08,14.069999694824219
2015-07-09,13.039999961853027
2015-07-10,11.920000076293945
2015-07-13,11.229999542236328
2015-07-14,11.239999771118164
2015-07-15,12.720000267028809
2015-07-16,12.819999694824219
2015-07-17,13.039999961853027
2015-07-20,12.859999656677246
2015-07-21,12.369999885559082
2015-07-22,12.149999618530273
2015-07-23,12.0600004196167
2015-07-24,11.699999809265137
2015-07-27,11.239999771118164
2015-07-28,10.350000381469727
2015-07-29,11.039999961853027
2015-07-30,11.550000190734863
2015-07-31,11.479999542236328
2015-08-03,10.890000343322754
2015-08-04,10.5
2015-08-05,9.760000228881836
2015-08-06,9.5600004196167
2015-08-07,11.210000038146973
2015-08-10,11.0600004196167
2015-08-11,11.0
2015-08-12,10.260000228881836
2015-08-13,9.90999984741211
2015-08-14,10.619999885559082
2015-08-17,10.579999923706055
2015-08-18,10.779999732971191
2015-08-19,9.930000305175781
2015-08-20,10.029999732971191
2015-08-21,9.5
2015-08-24,8.829999923706055
2015-08-25,9.4399995803833
2015-08-26,8.539999961853027
2015-08-27,9.220000267028809
2015-08-28,9.050000190734863
2015-08-31,9.369999885559082
2015-09-01,9.279999732971191
2015-09-02,9.199999809265137
2015-09-03,8.800000190734863
2015-09-04,9.270000457763672
2015-09-07,9.270000457763672
2015-09-08,9.050000190734863
2015-09-09,9.350000381469727
2015-09-10,9.399999618530273
2015-09-11,9.229999542236328
2015-09-14,9.100000381469727
2015-09-15,9.029999732971191
2015-09-16,9.449999809265137
2015-09-17,9.619999885559082
2015-09-18,9.319999694824219
2015-09-21,8.9399995803833
2015-09-22,9.0
2015-09-23,8.640000343322754
2015-09-24,7.940000057220459
2015-09-25,7.71999979019165
2015-09-28,7.0
2015-09-29,6.559999942779541
2015-09-30,6.25
2015-10-01,6.5
2015-10-02,6.5
2015-10-05,7.230000019073486
2015-10-06,7.570000171661377
2015-10-07,8.25
2015-10-08,8.260000228881836
2015-10-09,8.550000190734863
2015-10-12,8.029999732971191
2015-10-13,7.929999828338623
2015-10-14,7.349999904632568
2015-10-15,7.199999809265137
2015-10-16,7.099999904632568
2015-10-19,6.389999866485596
2015-10-20,6.110000133514404
2015-10-21,6.5
2015-10-22,6.400000095367432
2015-10-23,6.420000076293945
2015-10-26,6.75
2015-10-27,6.429999828338623
2015-10-28,6.639999866485596
2015-10-29,6.639999866485596
2015-10-30,6.78000020980835
2015-11-02,6.900000095367432
2015-11-03,7.349999904632568
2015-11-04,8.4399995803833
2015-11-05,8.319999694824219
2015-11-06,7.369999885559082
2015-11-09,6.599999904632568
2015-11-10,6.329999923706055
2015-11-11,6.179999828338623
2015-11-12,5.920000076293945
2015-11-13,5.820000171661377
2015-11-16,5.78000020980835
2015-11-17,5.820000171661377
2015-11-18,5.630000114440918
2015-11-19,5.849999904632568
2015-11-20,6.050000190734863
2015-11-23,5.989999771118164
2015-11-24,5.940000057220459
2015-11-25,6.150000095367432
2015-11-26,6.150000095367432
2015-11-27,6.369999885559082
2015-11-30,6.309999942779541
2015-12-01,6.25
2015-12-02,6.0
2015-12-03,6.130000114440918
2015-12-04,5.949999809265137
2015-12-07,6.159999847412109
2015-12-08,5.920000076293945
2015-12-09,5.809999942779541
2015-12-10,6.0
2015-12-11,6.010000228881836
2015-12-14,5.650000095367432
2015-12-15,5.260000228881836
2015-12-16,5.449999809265137
2015-12-17,5.579999923706055
2015-12-18,4.699999809265137
2015-12-21,5.989999771118164
2015-12-22,5.539999961853027
2015-12-23,5.730000019073486
2015-12-24,5.710000038146973
2015-12-25,5.710000038146973
2015-12-28,5.699999809265137
2015-12-29,5.429999828338623
2015-12-30,5.380000114440918
2015-12-31,5.210000038146973
2016-01-01,5.210000038146973
2016-01-04,5.199999809265137
2016-01-05,5.480000019073486
2016-01-06,5.28000020980835
2016-01-07,5.0
2016-01-08,4.829999923706055
2016-01-11,4.800000190734863
2016-01-12,4.440000057220459
2016-01-13,3.9700000286102295
2016-01-14,3.299999952316284
2016-01-15,3.440000057220459
2016-01-18,3.440000057220459
2016-01-19,4.03000020980835
2016-01-20,3.4800000190734863
2016-01-21,3.640000104904175
2016-01-22,3.7300000190734863
2016-01-25,3.7899999618530273
2016-01-26,3.5
2016-01-27,3.359999895095825
2016-01-28,3.1600000858306885
2016-01-29,3.1700000762939453
2016-02-01,3.9700000286102295
2016-02-02,3.869999885559082
2016-02-03,3.7100000381469727
2016-02-04,4.019999980926514
2016-02-05,4.389999866485596
2016-02-08,4.059999942779541
2016-02-09,4.03000020980835
2016-02-10,4.010000228881836
2016-02-11,3.5899999141693115
2016-02-12,3.9800000190734863
2016-02-15,3.9800000190734863
2016-02-16,3.8399999141693115
2016-02-17,3.740000009536743
2016-02-18,4.179999828338623
2016-02-19,4.050000190734863
2016-02-22,4.190000057220459
2016-02-23,4.159999847412109
2016-02-24,3.819999933242798
2016-02-25,4.760000228881836
2016-02-26,5.010000228881836
2016-02-29,4.900000095367432
2016-03-01,5.21999979019165
2016-03-02,5.489999771118164
2016-03-03,5.71999979019165
2016-03-04,5.989999771118164
2016-03-07,5.829999923706055
2016-03-08,6.46999979019165
2016-03-09,6.119999885559082
2016-03-10,6.28000020980835
2016-03-11,6.449999809265137
